0.57587	145	-1822.7	1	-1785.5	1
29.482111299999996	216	-1785.085	1	-1749.347	1
58.3883526	243	-1747.47	2	-1713.194	3
87.29459389999998	315	-1709.855	0	-1677.041	3
116.20083519999999	351	-1672.24	6	-1640.888	4
145.1070765	387	-1634.625	9	-1604.7350000000001	10
174.01331779999998	409	-1597.01	4	-1568.5819999999999	3
202.9195591	475	-1559.395	16	-1532.429	10
231.8258004	488	-1521.78	17	-1496.276	16
260.73204169999997	532	-1484.165	26	-1460.123	16
289.638283	567	-1446.55	28	-1423.97	26
318.5445243	620	-1408.935	50	-1387.817	56
347.45076559999995	660	-1371.3200000000002	48	-1351.664	69
376.3570069	721	-1333.705	60	-1315.511	69
405.26324819999996	802	-1296.0900000000001	89	-1279.358	72
434.1694895	836	-1258.475	95	-1243.205	111
463.0757308	823	-1220.8600000000001	115	-1207.0520000000001	139
491.98197209999995	870	-1183.245	157	-1170.899	181
520.8882133999999	872	-1145.63	210	-1134.746	241
549.7944547	877	-1108.0149999999999	230	-1098.593	270
578.700696	921	-1070.4	306	-1062.44	328
607.6069372999999	963	-1032.7849999999999	353	-1026.287	360
636.5131786	1024	-995.17	462	-990.134	428
665.4194199	1076	-957.555	540	-953.981	517
694.3256611999999	1171	-919.94	600	-917.828	597
723.2319024999999	1211	-882.325	714	-881.6750000000001	661
752.1381438	1249	-844.71	806	-845.522	753
781.0443851	1387	-807.095	927	-809.369	851
809.9506263999999	1435	-769.48	975	-773.216	1009
838.8568677	1508	-731.865	1159	-737.0630000000001	1071
867.763109	1515	-694.25	1191	-700.9100000000001	1198
896.6693502999999	1631	-656.635	1384	-664.7570000000001	1276
925.5755915999999	1784	-619.02	1501	-628.604	1413
954.4818329	1811	-581.405	1639	-592.451	1491
983.3880741999999	1837	-543.79	1735	-556.298	1664
1012.2943154999999	1980	-506.17499999999995	1827	-520.145	1749
1041.2005567999997	2023	-468.55999999999995	2061	-483.99199999999996	1876
1070.1067980999999	2095	-430.94499999999994	2109	-447.83899999999994	1951
1099.0130393999998	2088	-393.3299999999999	2154	-411.68600000000015	2112
1127.9192806999997	2197	-355.7149999999999	2239	-375.53300000000013	2256
1156.8255219999999	2222	-318.0999999999999	2452	-339.3800000000001	2288
1185.7317632999998	2305	-280.4849999999999	2628	-303.2270000000001	2456
1214.6380045999997	2322	-242.8699999999999	2638	-267.07400000000007	2491
1243.5442458999999	2406	-205.25499999999988	2759	-230.92100000000005	2455
1272.4504871999998	2354	-167.63999999999987	2726	-194.76800000000003	2618
1301.3567284999997	2517	-130.02499999999986	2903	-158.615	2705
1330.2629697999998	2449	-92.40999999999985	2849	-122.46199999999999	2750
1359.1692110999998	2473	-54.794999999999845	2960	-86.30899999999997	2808
1388.0754523999997	2490	-17.180000000000064	2835	-50.15599999999995	2788
1416.9816936999998	2414	20.434999999999945	2943	-14.003000000000156	2784
1445.8879349999997	2435	58.049999999999955	3023	22.149999999999864	2799
1474.7941763	2270	95.66499999999996	2991	58.302999999999884	2759
1503.7004175999998	2188	133.27999999999997	2692	94.4559999999999	2735
1532.6066588999997	2187	170.89499999999998	2763	130.60899999999992	2726
1561.5129001999999	2117	208.51	2577	166.76199999999994	2692
1590.4191414999998	2086	246.12500000000023	2563	202.91499999999996	2628
1619.3253827999997	1979	283.74	2418	239.06799999999998	2473
1648.2316240999999	1812	321.35500000000025	2348	275.221	2368
1677.1378653999998	1772	358.97	2268	311.3739999999998	2301
1706.0441066999997	1585	396.58500000000026	2131	347.52700000000004	2167
1734.9503479999998	1491	434.20000000000005	2057	383.67999999999984	2064
1763.8565892999998	1348	471.8150000000003	1817	419.8330000000001	2045
1792.7628305999997	1252	509.43000000000006	1778	455.9859999999999	1817
1821.6690718999998	1051	547.0450000000003	1617	492.1390000000001	1710
1850.5753131999998	1050	584.6600000000001	1434	528.2919999999999	1619
1879.4815544999997	869	622.2749999999999	1390	564.4449999999997	1476
1908.3877957999998	794	659.8900000000001	1258	600.598	1353
1937.2940370999997	687	697.5049999999999	1143	636.7509999999997	1277
1966.2002783999997	618	735.1200000000001	978	672.904	1096
1995.1065196999998	489	772.7349999999999	868	709.0569999999998	1037
2024.0127609999997	406	810.3500000000001	756	745.21	967
2052.9190023	385	847.9649999999999	741	781.3629999999998	772
2081.8252436	316	885.5800000000002	653	817.5160000000001	729
2110.7314849	277	923.1949999999999	489	853.6689999999999	694
2139.6377262	219	960.8100000000002	441	889.8220000000001	544
2168.5439675	181	998.425	343	925.9749999999999	480
2197.4502088	143	1036.0400000000002	314	962.1279999999997	389
2226.3564501	113	1073.655	249	998.281	405
2255.2626913999998	95	1111.2700000000002	205	1034.4339999999997	275
2284.1689327	70	1148.885	167	1070.587	231
2313.075174	64	1186.5000000000002	126	1106.7399999999998	214
2341.9814152999998	47	1224.115	115	1142.893	172
2370.8876566	38	1261.7300000000002	76	1179.0459999999998	138
2399.7938979	19	1299.345	79	1215.199	107
2428.7001391999997	25	1336.9600000000003	57	1251.3519999999999	94
2457.6063805	10	1374.575	31	1287.505	57
2486.5126218	14	1412.1900000000003	31	1323.658	50
2515.4188630999997	7	1449.805	27	1359.8109999999997	33
2544.3251044	8	1487.4200000000003	17	1395.964	25
2573.2313457	2	1525.035	6	1432.1169999999997	16
2602.1375869999997	5	1562.6500000000003	5	1468.27	12
2631.0438283	3	1600.265	5	1504.4229999999998	19
2659.9500696	2	1637.8800000000003	4	1540.576	11
2688.8563108999997	0	1675.4950000000001	4	1576.7289999999998	7
2717.7625522	1	1713.1100000000004	5	1612.882	3
